===== wnba_2015_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Chicago Sky*,"26,9",21,13,23,11,"4,06","0,22","4,28","105,4","100,2",+5.2,"77,8",",271",",180",",525",0,",476","13,3","28,8",",224",0,",463","14,4","74,9",",220",0,Allstate Arena
2,Minnesota Lynx*,"28,9",22,12,23,11,"3,74","-1,09","2,65","100,5","95,5",+5.0,"74,8",",252",",188",",517",0,",472","15,2","26,2",",206",0,",453","14,9","76,8",",176",0,Target Center
3,New York Liberty*,"26,9",23,11,22,12,"3,32","0,28","3,61","97,4","93,0",+4.4,"75,8",",305",",188",",505",0,",455","16,6","29,2",",236",0,",438","16,8","78,3",",234",0,Madison Square Garden (IV)
4,Phoenix Mercury*,"28,0",20,14,21,13,"2,85","-0,83","2,03","99,7","95,9",+3.8,"74,1",",303",",226",",526",0,",474","15,3","22,2",",246",0,",432","14,7","72,7",",203",0,US Airways Center
5,Washington Mystics*,"25,6",18,16,21,13,"2,32","0,53","2,85","99,2","96,1",+3.1,"73,6",",265",",272",",514",0,",469","15,5","24,6",",210",0,",436","15,7","70,3",",208",0,Verizon Center
6,Indiana Fever*,"26,7",20,14,20,14,"1,88","0,57","2,45","101,0","98,5",+2.5,"76,4",",328",",229",",521",0,",465","16,2","28,4",",262",0,",475","18,4","72,9",",248",0,Bankers Life Fieldhouse
7,Tulsa Shock*,"25,3",18,16,18,16,"0,65","-0,66","-0,01","102,9","102,0",+0.9,"75,0",",342",",276",",500",0,",440","13,9","31,4",",271",0,",482","15,9","74,1",",244",0,BOK Center
8,Los Angeles Sparks*,"27,1",14,20,15,19,"-0,94","-0,72","-1,66","100,2","101,5","-1,3","72,9",",255",",231",",531",0,",486","16,0","22,9",",207",0,",451","13,0","73,3",",247",0,STAPLES Center
9,Connecticut Sun,"25,0",15,19,14,20,"-1,62","0,85","-0,77","99,0","101,2","-2,2","74,1",",237",",271",",503",0,",468","15,4","26,9",",176",0,",477","17,2","70,6",",244",0,Mohegan Sun Arena
10,Atlanta Dream,"27,4",15,19,14,20,"-1,97","0,88","-1,09","98,6","101,1","-2,5","78,3",",313",",224",",501",0,",447","17,1","32,0",",246",0,",477","17,7","73,0",",295",0,Philips Arena
11,Seattle Storm,"26,2",10,24,9,25,"-5,65","-0,16","-5,80","93,2","100,7","-7,5","75,6",",261",",238",",519",0,",473","18,2","17,3",",212",0,",470","14,8","74,0",",219",0,KeyArena at Seattle Center
12,San Antonio Stars,"26,3",8,26,5,29,"-8,65","0,12","-8,53","89,6","101,0","-11,4","75,7",",271",",197",",469",0,",419","16,1","23,0",",210",0,",487","15,2","73,8",",176",0,Freeman Coliseum


===== wnba_2015_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6850,",411","11,9",0,",776",",299",",173",",122",",182",",224",0,",438",",654",",316",",276",",307",",320",0,",533",",771",0,",183",",274"
2,Chicago Sky*,34,6875,",446","12,1",0,",820",",285",",147",",161",",228",",180",0,",472",",593",",375",",460",",393",",327",0,",461",",809",0,",153",",364"
3,Connecticut Sun,34,6950,",422","12,2",0,",729",",295",",187",",105",",141",",271",0,",454",",610",",358",",360",",327",",335",0,",474",",842",0,",119",",459"
4,Indiana Fever*,34,6850,",424","11,8",0,",771",",332",",139",",107",",194",",229",0,",443",",550",",329",",369",",384",",360",0,",454",",890",0,",158",",413"
5,Los Angeles Sparks*,34,6850,",452","12,4",0,",769",",263",",185",",134",",187",",231",0,",499",",698",",359",",396",",431",",297",0,",618",",814",0,",221",",278"
6,Minnesota Lynx*,34,6825,",440","12,1",0,",813",",258",",162",",190",",201",",187",0,",465",",643",",353",",438",",356",",333",0,",591",",849",0,",112",",298"
7,New York Liberty*,34,6850,",426","11,5",0,",813",",288",",199",",133",",192",",188",0,",453",",601",",393",",352",",362",",309",0,",567",",852",0,",167",",319"
8,Phoenix Mercury*,34,6925,",437","12,0",0,",774",",277",",193",",134",",169",",226",0,",470",",596",",389",",424",",393",",324",0,",537",",854",0,",200",",351"
9,San Antonio Stars,34,6825,",390","11,7",0,",803",",260",",210",",148",",185",",197",0,",414",",527",",358",",359",",362",",295",0,",554",",859",0,",141",",262"
10,Seattle Storm,34,6800,",434","12,6",0,",762",",242",",199",",123",",198",",238",0,",469",",676",",377",",349",",384",",323",0,",597",",805",0,",148",",247"
11,Tulsa Shock*,34,6850,",395","11,8",0,",724",",286",",223",",092",",123",",276",0,",421",",588",",298",",251",",383",",325",0,",435",",850",0,",170",",324"
12,Washington Mystics*,34,6850,",421","13,6",0,",729",",210",",171",",159",",188",",271",0,",450",",621",",363",",378",",399",",344",0,",596",",882",0,",127",",347"


===== wnba_2015_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6850,",436",12,0,",749",",293",",153",",114",",188",",251",0,",473",",633",",369",",344",",386",",327",0,",566",",848",0,",204",",324"
2,Chicago Sky*,34,6875,",425",12,0,",780",",302",",186",",122",",171",",220",0,",448",",607",",349",",347",",346",",345",0,",559",",814",0,",154",",367"
3,Connecticut Sun,34,6950,",440",12,0,",793",",291",",172",",144",",186",",207",0,",461",",638",",342",",367",",368",",358",0,",511",",839",0,",158",",366"
4,Indiana Fever*,34,6850,",440",12,0,",763",",304",",166",",107",",186",",237",0,",483",",648",",354",",394",",378",",301",0,",511",",856",0,",216",",245"
5,Los Angeles Sparks*,34,6850,",415",12,0,",778",",286",",195",",130",",166",",222",0,",440",",582",",318",",423",",351",",327",0,",542",",881",0,",137",",299"
6,Minnesota Lynx*,34,6825,",414",13,0,",754",",280",",142",",141",",191",",246",0,",448",",588",",338",",375",",380",",311",0,",563",",821",0,",180",",330"
